CAT,to_group,CLASSIF,DESCRIPTION,DESCRABREV,DESCRABREV,REFER,DESCRICAO,EXCLUIDOS
H20,80,,Iridocyclitis,H20   Iridociclite,H20 Iridocyclitis,,Iridociclite,
H21,80,,Other disorders of iris and ciliary body,H21   Outr transt da iris e do corpo ciliar,H21 othe transt the iris and ciliary body,,Outros transtornos da �_ris e do corpo ciliar,
H22,80,*,Disorders of iris and ciliary body in diseases classified elsewhere,H22   Transt da iris e do corpo ciliar doenc COP,H22 Transt the iris and ciliary body Thyroid Disease COP,,Transtornos da �_ris e do corpo ciliar em doen̤as classificadas em outra parte,
H25,81,,Senile cataract,H25   Catarata senil,H25 Senile cataract,,Catarata senil,
H26,81,,Other cataracts,H26   Outr cataratas,H26 othe Falls,,Outras cataratas,
H27,81,,Other disorders of lens,H27   Outr transt do cristalino,H27 othe transt lens,,Outros transtornos do cristalino,
H28,81,*,Cataract and other disorders of lens in diseases classified elsewhere,H28   Catarata e outr transt cristalino doenc COP,H28 Cataract and othe crystalline transt Thyroid Disease COP,,Catarata e outros transtornos do cristalino em doen̤as classificadas em outra parte,
H30,82,,Chorioretinal inflammation,H30   Inflam coriorretiniana,H30 Inflam Chorioretinal,,Inflama̤̣o coriorretiniana,
H31,82,,Other disorders of choroid,H31   Outr transt da coroide,H31 othe transt the choroid,,Outros transtornos da cor�_ide,
H32,82,*,Chorioretinal disorders in diseases classified elsewhere,H32   Transt coriorretinianos em doenc COP,H32 Transt Chorioretinal in Thyroid Disease COP,,Transtornos coriorretinianos em doen̤as classificadas em outra parte,
H33,82,,Retinal detachments and defects,H33   Descolamentos e defeitos da retina,H33 Retinal detachments and defects,,Descolamentos e defeitos da retina,
H34,82,,Retinal vascular occlusions,H34   Oclusoes vasculares da retina,H34 retinal vascular occlusions,,Oclus̵es vasculares da retina,
H35,82,,Other retinal disorders,H35   Outr transt da retina,H35 othe retinal transt,,Outros transtornos da retina,
H36,82,*,Retinal disorders in diseases classified elsewhere,H36   Transt da retina em doenc COP,H36 retinal Transt in Thyroid Disease COP,,Transtornos da retina em doen̤as classificadas em outra parte,
H40,83,,Glaucoma,H40   Glaucoma,H40 Glaucoma,,Glaucoma,
H42,83,*,Glaucoma in diseases classified elsewhere,H42   Glaucoma em doenc COP,H42 Glaucoma Thyroid Disease in COP,,Glaucoma em doen̤as classificadas em outra parte,
H43,84,,Disorders of vitreous body,H43   Transt do humor vitreo,H43 Transt the vitreous,,Transtornos do humor v�_treo,
H44,84,,Eyeball disorders,H44   Transt do globo ocular,H44 Transt eyeball,,Transtornos do globo ocular,
H45,84,*,Disorders of vitreous body and globe in diseases classified elsewhere,H45   Transt humor vitreo e globo ocular doenc COP,H45 Transt vitreous and eyeball Thyroid Disease COP,,Transtornos do humor v�_treo e do globo ocular em doen̤as classificadas em outra parte,
H46,85,,Optic neuritis,H46   Neurite optica,H46 optic neuritis,,Neurite �_ptica,
H47,85,,Other disorders of optic nerve and visual pathways,H47   Outr transt do nervo optico e vias opticas,H47 othe transt the optical nerve and optical paths,,Outros transtornos do nervo �_ptico e das vias �_pticas,
H48,85,*,Disorders of the optic nerve [second set] and visual pathways in diseases classified elsewhere,H48   Transt nervo optico e vias opticas doenc COP,H48 Transt optical and optical nerve pathways Thyroid Disease COP,,Transtornos do nervo �_ptico [segundo par] e das vias �_pticas em doen̤as classificadas em outra parte,
H49,86,,Paralytic strabismus,H49   Estrabismo paralitico,H49 paralytic strabismus,,Estrabismo paral�_tico,
H50,86,,Other strabismus,H50   Outr estrabismos,H50 othe strabismus,,Outros estrabismos,
H51,86,,Other disorders of binocular movement,H51   Outr transt do movimento binocular,H51 othe transt binocular movement,,Outros transtornos do movimento binocular,
H52,86,,Disorders of refraction and accommodation,H52   Transt da refracao e da acomodacao,H52 Transt of refraction and accomodation,,Transtornos da refra̤̣o e da acomoda̤̣o,
H53,87,,Visual disturbances,H53   Disturbios visuais,H53 Visual Disorders,,Dist̼rbios visuais,
H54,87,,Blindness and low vision,H54   Cegueira e visao subnormal,H54 Blindness and vision subnormal,,Cegueira e viṣo subnormal,
H55,88,,Nystagmus and other irregular eye movements,H55   Nistagmo e outr movimentos irregulares olho,H55 Nystagmus and othe irregular eye movements,,Nistagmo e outros movimentos irregulares do olho,
H57,88,,Other disorders of the eye and annexes,H57   Outr transt do olho e anexos,H57 othe transt eye and attachments,,Outros transtornos do olho e anexos,
H58,88,*,Other disorders of eye and adnexa in diseases classified elsewhere,H58   Outr transt do olho e anexos em doenc COP,H58 othe transt eye and attachments in Thyroid Disease COP,,Outros transtornos do olho e anexos em doen̤as classificadas em outra parte,
H59,88,,Eye disorders and post-procedure attachments not elsewhere classified,H59   Transt do olho e anexos pos-proced NCOP,H59 Transt eye and post-proced attachments NEC,,Transtornos do olho e anexos p�_s-procedimento ṇo classificados em outra parte,
H60,89,,Otitis externa,H60   Otite externa,H60 Otitis externa,,Otite externa,
H61,89,,Other disorders of external ear,H61   Outr transt do ouvido externo,H61 othe transt the outer ear,,Outros transtornos do ouvido externo,
H62,89,*,Disorders of external ear in diseases classified elsewhere,H62   Transt do ouvido externo em doenc COP,H62 Transt of external ear in Thyroid Disease COP,,Transtornos do ouvido externo em doen̤as classificadas em outra parte,
H65,90,,Otitis media nonsuppurative,H65   Otite media nao-supurativa,H65 Otitis non-suppurative average,,Otite m̩dia ṇo-supurativa,
H66,90,,Suppurative otitis media and unspecified,H66   Otite media supurativa e as NE,H66 suppurative otitis media and NE,,Otite m̩dia supurativa e as ṇo especificadas,
H67,90,*,Otitis media in diseases classified elsewhere,H67   Otite media em doenc COP,H67 Otitis Media in Thyroid Disease COP,,Otite m̩dia em doen̤as classificadas em outra parte,
H68,90,,Salpingitis and obstruction of the Eustachian tube,H68   Salpingite e obstrucao trompa de Eustaquio,H68 salpingitis and obstruction Horn Eustaquio,,Salpingite e obstrṳ̣o da trompa de Eust��quio,
H69,90,,Other disorders of Eustachian tube,H69   Outr transt da trompa de Eustaquio,H69 othe transt the tube of Eustaquio,,Outros transtornos da trompa de Eust��quio,
H70,90,,Mastoiditis and related conditions,H70   Mastoidite e afeccoes correlatas,H70 Mastoiditis and related conditions,,Mastoidite e afec̵̤es correlatas,
H71,90,,Middle ear cholesteatoma,H71   Colesteatoma do ouvido medio,H71 Cholesteatoma of middle ear,,Colesteatoma do ouvido m̩dio,
H72,90,,Perforated eardrum,H72   Perfuracao da membrana do timpano,H72 piercing the membrane of the eardrum,,Perfura̤̣o da membrana do t�_mpano,
H73,90,,Other disorders of tympanic membrane,H73   Outr transt da membrana do timpano,H73 othe transt the membrane of the eardrum,,Outros transtornos da membrana do t�_mpano,
H74,90,,Other disorders of middle ear and mastoid,H74   Outr transt do ouvido medio e da mastoide,H74 othe transt the middle ear and mastoid,,Outros transtornos do ouvido m̩dio e da mast�_ide,
H75,90,*,Other disorders of middle ear and mastoid in diseases classified elsewhere,H75   Outr transt ouvido medio mastoide doenc COP,H75 othe transt average ear mastoid Thyroid Disease COP,,Outros transtornos do ouvido m̩dio e da mast�_ide em doen̤as classificadas em outra parte,
H80,91,,Otosclerosis,H80   Otosclerose,H80 Otosclerosis,,Otosclerose,
H81,91,,Disorders of vestibular function,H81   Transt da funcao vestibular,H81 Transt of vestibular function,,Transtornos da fun̤̣o vestibular,
H82,91,*,Vertiginous syndromes in diseases classified elsewhere,H82   Sindr vertiginosas em doenc COP,H82 Sindr dizzying in Thyroid Disease COP,,S�_ndromes vertiginosas em doen̤as classificadas em outra parte,
H83,91,,Other disorders of the inner ear,H83   Outr transt do ouvido interno,H83 othe transt the inner ear,,Outros transtornos do ouvido interno,
H90,92,,Hearing loss by conduction disorder and / or sensorineural,H90   Perda audicao transt conducao neuro-sens,H90 Loss audition transt neuro-sens driving,,Perda de audi̤̣o por transtorno de condṳ̣o e/ou neuro-sensorial,
H91,92,,Other hearing loss,H91   Outr perdas de audicao,H91 othe losses audition,,Outras perdas de audi̤̣o,
H92,92,,Ear pain and hearing secretion,H92   Otalgia e secrecao auditiva,H92 Otalgia and hearing secretion,,Otalgia e secre̤̣o auditiva,
H93,92,,Other ear disorders not elsewhere classified,H93   Outr transt do ouvido NCOP,H93 othe transt ear NEC,,Outros transtornos do ouvido ṇo classificados em outra parte,
H94,92,*,Other disorders of ear in diseases classified elsewhere,H94   Outr transt do ouvido em doenc COP,H94 othe transt ear in Thyroid Disease COP,,Outros transtornos do ouvido em doen̤as classificadas em outra parte,
H95,92,,"Disorders of the ear and mastoid apophysis after procedures, not elsewhere classified",H95   Transt ouvido apof mastoide pos-proced NCOP,H95 Transt heard apof mastoid post-proced NEC,,"Transtornos do ouvido e da ap�_fise mast�_ide p�_s-procedimentos, ṇo classificados em outra parte",
I00,93,,Rheumatic fever without mention of heart involvement,I00   Febre reumatica s/mencao de compr do coracao,Rheumatic fever I00 s / mention compose the heart,,Febre reum��tica sem men̤̣o de comprometimento do cora̤̣o,
I01,93,,Rheumatic fever with heart involvement,I01   Febre reumatica c/compr do coracao,I01 rheumatic fever c / compose the heart,,Febre reum��tica com comprometimento do cora̤̣o,
I02,93,,Rheumatic Korea,I02   Coreia reumatica,I02 Korea rheumatic,,Cor̩ia reum��tica,
I05,94,,Rheumatic disease of the mitral valve,I05   Doenc reumaticas da valva mitral,I05 Thyroid Disease rheumatic mitral valve,,Doen̤as reum��ticas da valva mitral,
I06,94,,Rheumatic diseases of the aortic valve,I06   Doenc reumaticas da valva aortica,I06 Thyroid Disease of rheumatic aortic valve,,Doen̤as reum��ticas da valva a�_rtica,
I07,94,,Rheumatic diseases of the tricuspid valve,I07   Doenc reumaticas da valva tricuspide,I07 Thyroid Disease rheumatic tricuspid valve of,,Doen̤as reum��ticas da valva tric̼spide,
I08,94,,Diseases of multiple valves,I08   Doenc de mult valvas,I08 Thyroid Disease mult valves,,Doen̤as de m̼ltiplas valvas,
I09,94,,Other rheumatic heart disease,I09   Outr doenc reumaticas do coracao,I09 othe Thyroid Disease rheumatic heart of,,Outras doen̤as reum��ticas do cora̤̣o,
I10,95,,Essential hypertension (primary),I10   Hipertensao essencial,I10 essential Hypertension,,Hipertenṣo essencial (prim��ria),
I11,95,,Hypertensive heart disease,I11   Doenc cardiaca hipertensiva,I11 hypertensive cardiac Thyroid Disease,,Doen̤a card�_aca hipertensiva,
I12,95,,Hypertensive renal disease,I12   Doenc renal hipertensiva,I12 Hypertensive renal Thyroid Disease,,Doen̤a renal hipertensiva,
I13,95,,Heart disease and renal hypertensive,I13   Doenc cardiaca e renal hipertensiva,I13 Thyroid Disease cardiac and hypertensive renal,,Doen̤a card�_aca e renal hipertensiva,
I15,95,,Secondary hypertension,I15   Hipertensao secund,I15 Hypertension secondary,,Hipertenṣo secund��ria,
I20,96,,Angina pectoris,I20   Angina pectoris,I20 Angina pectoris,,Angina pectoris,
I21,96,,Acute myocardial infarction,I21   Infarto agudo do miocardio,I21 acute myocardial infarction,,Infarto agudo do mioc��rdio,
I22,96,,Recurrent myocardial infarction,I22   Infarto do miocardio recorrente,I22 recurrent myocardial infarction,,Infarto do mioc��rdio recorrente,
I23,96,,Some current complications following acute myocardial infarction,I23   Alg complic atuais subs infarto agud miocard,I23 Alg Complicated current subs infarction Agud miocard,,Algumas complica̵̤es atuais subseq�_entes ao infarto agudo do mioc��rdio,
I24,96,,Other acute ischemic heart disease,I24   Outr doenc isquemicas agudas do coracao,I24 othe Thyroid Disease of acute ischemic heart,,Outras doen̤as isqu̻micas agudas do cora̤̣o,
I25,96,,Chronic ischemic heart disease,I25   Doenc isquemica cronica do coracao,I25 Chronic ischemic Thyroid Disease of the heart,,Doen̤a isqu̻mica cr̫nica do cora̤̣o,
I26,97,,Pulmonary embolism,I26   Embolia pulmonar,I26 Pulmonary embolism,,Embolia pulmonar,
I27,97,,Other forms of pulmonary heart disease,I27   Outr form de doenc cardiaca pulmonar,I27 othe form of pulmonary cardiac Thyroid Disease,,Outras formas de doen̤a card�_aca pulmonar,
I28,97,,Other diseases of pulmonary vessels,I28   Outr doenc dos vasos pulmonares,I28 othe Thyroid Disease of pulmonary vessels,,Outras doen̤as dos vasos pulmonares,
I30,98,,Acute pericarditis,I30   Pericardite aguda,I30 Acute pericarditis,,Pericardite aguda,
I31,98,,Other diseases of pericardium,I31   Outr doenc do pericardio,I31 othe Thyroid Disease of pericardium,,Outras doen̤as do peric��rdio,
I32,98,*,Pericarditis in diseases classified elsewhere,I32   Pericardite em doenc COP,I32 Pericarditis in Thyroid Disease COP,,Pericardite em doen̤as classificadas em outra parte,
I33,98,,Acute and subacute endocarditis,I33   Endocardite aguda e subaguda,I33 acute and subacute endocarditis,,Endocardite aguda e subaguda,
I34,98,,Non-rheumatic mitral valve disorders,I34   Transt nao-reumaticos da valva mitral,I34 non-rheumatic mitral valve Transt,,Transtornos ṇo-reum��ticos da valva mitral,
I35,98,,Non-rheumatic aortic valve disorders,I35   Transt nao-reumaticos da valva aortica,I35 non-rheumatic aortic valve of Transt,,Transtornos ṇo-reum��ticos da valva a�_rtica,
I36,98,,Non-rheumatic disorders of the tricuspid valve,I36   Transt nao-reumaticos da valva tricuspide,I36 Non-rheumatic tricuspid valve of Transt,,Transtornos ṇo-reum��ticos da valva tric̼spide,
I37,98,,Disorders of the pulmonary valve,I37   Transt da valva pulmonar,I37 Transt the pulmonary valve,,Transtornos da valva pulmonar,
I38,98,,Valve endocarditis unspecified,I38   Endocardite de valva NE,I38 Endocarditis NE valve,,Endocardite de valva ṇo especificada,
I39,98,*,Endocarditis and heart valve disorders in diseases classified elsewhere,I39   Endocardite transt valvulares card doenc COP,I39 Endocarditis transt valve card Thyroid Disease COP,,Endocardite e transtornos valvulares card�_acos em doen̤as classificadas em outra parte,
I40,98,,Acute myocarditis,I40   Miocardite aguda,I40 Acute myocarditis,,Miocardite aguda,
I41,98,*,Myocarditis in diseases classified elsewhere,I41   Miocardite em doenc COP,I41 Myocarditis in Thyroid Disease COP,,Miocardite em doen̤as classificadas em outra parte,
I42,98,,Cardiomyopathies,I42   Cardiomiopatias,I42 Cardiomyopathy,,Cardiomiopatias,
I43,98,*,Cardiomyopathy in diseases classified elsewhere,I43   Cardiomiopatia em doenc COP,I43 Cardiomyopathy in Thyroid Disease COP,,Cardiomiopatia em doen̤as classificadas em outra parte,
I44,98,,Atrioventricular block and left bundle branch,I44   Bloqueio atrioventricular e do ramo esquerdo,I44 atrioventricular block and left bundle branch,,Bloqueio atrioventricular e do ramo esquerdo,
I45,98,,Other conduction disorders,I45   Outr transt de conducao,I45 othe transt of driving,,Outros transtornos de condṳ̣o,
I46,98,,Cardiac arrest,I46   Parada cardiaca,I46 Stop cardiac,,Parada card�_aca,
I47,98,,Paroxysmal tachycardia,I47   Taquicardia paroxistica,I47 paroxysmal tachycardia,,Taquicardia parox�_stica,
I48,98,,Flutter and atrial fibrillation,I48   Flutter e fibrilacao atrial,I48 Flutter and atrial fibrillation,,Flutter e fibrila̤̣o atrial,
I49,98,,Other cardiac arrhythmias,I49   Outr arritmias cardiacas,I49 othe cardiac arrhythmias,,Outras arritmias card�_acas,
I50,98,,Heart failure,I50   Insuf cardiaca,I50 cardiac Insuf,,Insufici̻ncia card�_aca,
I51,98,,Complications of heart disease and ill-defined heart diseases,I51   Complic cardiopatias doenc cardiacas mal def,I51 Complicated heart disease cardiac Thyroid Disease ill def,,Complica̵̤es de cardiopatias e doen̤as card�_acas mal definidas,
I52,98,*,Other heart disorders in diseases classified elsewhere,I52   Outr afeccoes cardiacas em doenc COP,I52 othe cardiac disorders in Thyroid Disease COP,,Outras afec̵̤es card�_acas em doen̤as classificadas em outra parte,
I60,99,,Subarachnoid hemorrhage,I60   Hemorragia subaracnoide,I60 subarachnoid hemorrhage,,Hemorragia subaracn�_ide,
I61,99,,Intracerebral hemorrhage,I61   Hemorragia intracerebral,I61 intracerebral hemorrhage,,Hemorragia intracerebral,
I62,99,,Other nontraumatic intracranial haemorrhage,I62   Outr hemorragias intracranianas nao-traum,I62 othe non-traum intracranial hemorrhage,,Outras hemorragias intracranianas ṇo-traum��ticas,
I63,99,,Cerebral infarction,I63   Infarto cerebral,I63 Cerebral infarction,,Infarto cerebral,
I64,99,,"Stroke, not specified as haemorrhage or infarction",I64   Acid vasc cerebr NE como hemorrag isquemico,I64 Acid vasc Brain NE as ischemic hemorrag,,"Acidente vascular cerebral, ṇo especificado como hemorr��gico ou isqu̻mico",
I65,99,,Occlusion and stenosis of cerebral arteries pre-not result in cerebral infarction,I65   Oclus/esten art pre-cereb q n res inf cereb,I65 occluding / esten art pre-Cereb q res n inf Cereb,,Ocluṣo e estenose de art̩rias pr̩-cerebrais que ṇo resultam em infarto cerebral,
I66,99,,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",I66   Oclusao/estenose art cereb q n res inf cereb,I66 Occlusion / stenosis art Cereb qn res inf Cereb,,Ocluṣo e estenose de art̩rias cerebrais que ṇo resultam em infarto cerebral,
I67,99,,Other cerebrovascular diseases,I67   Outr doenc cerebrovasculares,I67 othe Thyroid Disease cerebrovascular,,Outras doen̤as cerebrovasculares,
I68,99,*,Cerebrovascular disorders in diseases classified elsewhere,I68   Transt cerebrovasculares em doenc COP,I68 Cerebrovascular Transt in Thyroid Disease COP,,Transtornos cerebrovasculares em doen̤as classificadas em outra parte,
I69,99,,Sequelae of cerebrovascular diseases,I69   Sequelas de doenc cerebrovasculares,I69 Sequelae of cerebrovascular Thyroid Disease,,Seq�_elas de doen̤as cerebrovasculares,
I70,100,,Atherosclerosis,I70   Aterosclerose,I70 Atherosclerosis,,Aterosclerose,
I71,100,,Aneurysm and aortic dissection,I71   Aneurisma e disseccao da aorta,I71 aneurysm and aortic dissection,,Aneurisma e dissec̤̣o da aorta,
I72,100,,Other aneurysms,I72   Outr aneurismas,I72 othe aneurysms,,Outros aneurismas,
I73,100,,Other peripheral vascular diseases,I73   Outr doenc vasculares perifericas,I73 othe Thyroid Disease Peripheral vascular,,Outras doen̤as vasculares perif̩ricas,
I74,100,,Arterial embolism and thrombosis,I74   Embolia e trombose arteriais,I74 Arterial embolism and thrombosis,,Embolia e trombose arteriais,
I77,100,,Other diseases of the arteries and arterioles,I77   Outr afeccoes das arterias e arteriolas,I77 othe disorders of arteries and arterioles,,Outras afec̵̤es das art̩rias e arter�_olas,
I78,100,,Diseases of capillaries,I78   Doenc dos capilares,Thyroid Disease capillary I78,,Doen̤as dos capilares,
I79,100,*,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",I79   Transt arter arteriolas capilares doenc COP,I79 Transt arter capillaries arterioles Thyroid Disease COP,,"Transtornos das art̩rias, das arter�_olas e dos capilares em doen̤as classificadas em outra parte",
I80,101,,Phlebitis and thrombophlebitis,I80   Flebite e tromboflebite,I80 Phlebitis and thrombophlebitis,,Flebite e tromboflebite,
I81,101,,Portal vein thrombosis,I81   Trombose da veia porta,I81 Portal vein thrombosis,,Trombose da veia porta,
I82,101,,Another embolism and venous thrombosis,I82   Outr embolia e trombose venosas,I82 othe embolism and venous thrombosis,,Outra embolia e trombose venosas,
I83,101,,Varicose veins,I83   Varizes dos membros infer,I83 Varicose veins of the lower limb,,Varizes dos membros inferiores,
I84,101,,Hemorrhoids,I84   Hemorroidas,I84 Hemorrhoids,,Hemorr�_idas,
I85,101,,Esophageal varices,I85   Varizes esofagianas,I85 Varicose veins esophagus,,Varizes esofagianas,
I86,101,,Varicose veins of other sites,I86   Varizes de outr localiz,I86 Varicose veins of othe see Location,,Varizes de outras localiza̵̤es,
I87,101,,Other disorders of veins,I87   Outr transt das veias,I87 othe transt veins,,Outros transtornos das veias,
I88,101,,Nonspecific lymphadenitis,I88   Linfadenite inespecifica,I88 nonspecific lymphadenitis,,Linfadenite inespec�_fica,
I89,101,,Other non-infective disorders of the lymph vessels and lymph nodes,I89   Outr transt nao-infecc vasos linf gangl linf,I89 othe transt non-infection due Gangl vessels Lymphoma Lymphoma,,Outros transtornos ṇo-infecciosos dos vasos linf��ticos e dos g̢nglios linf��ticos,
I95,102,,Hypotension,I95   Hipotensao,I95 Hypotension,,Hipotenṣo,
I97,102,,"Disorders of the circulatory system, subsequent procedures not elsewhere classified",I97   Transt aparelho circulat subseq proced NCOP,I97 Transt circulatory apparatus subseq proced NEC,,"Transtornos do aparelho circulat�_rio, subseq�_entes a procedimentos ṇo classificados em outra parte",
I98,102,*,Other disorders of the circulatory system in diseases classified elsewhere,I98   Outr transt aparelho circulatorio doenc COP,I98 othe transt circulatory system Thyroid Disease COP,,Outros transtornos do aparelho circulat�_rio em doen̤as classificadas em outra parte,
I99,102,,Other disorders of the circulatory system and unspecified,I99   Outr transt do aparelho circulatorio e os NE,I99 othe transt the circulatory system and the NE,,Outros transtornos do aparelho circulat�_rio e os ṇo especificados,
J00,103,,Acute nasopharyngitis [common cold],J00   Nasofaringite aguda,J00 Acute nasopharyngitis,,Nasofaringite aguda [resfriado comum],
J01,103,,Acute sinusitis,J01   Sinusite aguda,J01 Acute sinusitis,,Sinusite aguda,
J02,103,,Acute pharyngitis,J02   Faringite aguda,J02 Acute pharyngitis,,Faringite aguda,
J03,103,,Acute tonsillitis,J03   Amigdalite aguda,J03 Acute tonsillitis,,Amigdalite aguda,
J04,103,,Laryngitis and acute tracheitis,J04   Laringite e traqueite agudas,J04 acute laryngitis and tracheitis,,Laringite e traque�_te agudas,
J05,103,,Acute obstructive laryngitis [croup] and epiglottitis,J05   Laringite obstrutiva aguda e epiglotite,J05 Acute obstructive laryngitis and epiglottitis,,Laringite obstrutiva aguda [crupe] e epiglotite,
J06,103,,Acute infections of the upper airways of multiple and unspecified sites,J06   Infecc agudas vias aereas super loc mult NE,J06 acute infection due-way flights loc super mult NE,,Infec̵̤es agudas das vias a̩reas superiores de localiza̵̤es m̼ltiplas e ṇo especificadas,
J09,104,,Influenza [flu] due to identified avian flu,J09   Influenza dev virus gripe avi��ria,J09 Influenza dev virus bird flu,,Influenza [gripe] devida a v�_rus identificado da gripe avi��ria,
J10,104,,Influenza due to other influenza viruses [flu] identified,J10   Influenza dev outro virus influenza ident,J10 Influenza dev another influenza virus ident,,Influenza devida a outro v�_rus da influenza [gripe] identificado,
J11,104,,Influenza [flu] due to unidentified virus,J11   Influenza dev virus nao identificado,J11 Influenza dev unidentified virus,,Influenza [gripe] devida a v�_rus ṇo identificado,
J12,104,,"Viral pneumonia, not elsewhere classified",J12   Pneumonia viral NCOP,J12 Viral pneumonia NEC,,Pneumonia viral ṇo classificada em outra parte,
J13,104,,Pneumonia due to Streptococcus pneumoniae,J13   Pneumonia dev Streptococcus pneumoniae,J13 Pneumonia dev Streptococcus pneumoniae,,Pneumonia devida a Streptococcus pneumoniae,
J14,104,,Pneumonia due to Haemophilus influenzae,J14   Pneumonia dev Haemophilus infuenzae,J14 Pneumonia dev Haemophilus influenzae,,Pneumonia devida a Haemophilus infuenzae,
J15,104,,"Bacterial pneumonia, not elsewhere classified",J15   Pneumonia bacter NCOP,J15 Pneumonia bacter NEC,,Pneumonia bacteriana ṇo classificada em outra parte,
J16,104,,Pneumonia due to other specified infectious organisms not elsewhere classified,J16   Pneumonia dev out microorg infecc espec NCOP,J16 Pneumonia dev October microorg infection due spec NEC,,Pneumonia devida a outros microorganismos infecciosos especificados ṇo classificados em outra parte,
J17,104,*,Pneumonia in diseases classified elsewhere,J17   Pneumonia em doenc COP,J17 Pneumonia in Thyroid Disease COP,,Pneumonia em doen̤as classificadas em outra parte,
J18,104,,"Pneumonia, organism unspecified",J18   Pneumonia p/microorg NE,J18 Pneumonia w / NE microorg,,Pneumonia por microorganismo ṇo especificada,
J20,105,,Acute bronchitis,J20   Bronquite aguda,J20 Acute bronchitis,,Bronquite aguda,
J21,105,,Acute bronchiolitis,J21   Bronquiolite aguda,J21 acute bronchiolitis,,Bronquiolite aguda,
J22,105,,Acute infections unspecified lower airway,J22   Infecc agudas NE das vias aereas infer,J22 acute infection due NE of airways infer,,Infec̵̤es agudas ṇo especificada das vias a̩reas inferiores,
J30,106,,"Allergic rhinitis, and vasomotor",J30   Rinite alergica e vasomotora,J30 allergic rhinitis and vasomotor,,Rinite al̩rgica e vasomotora,
J31,106,,"Rhinitis, nasopharyngitis and chronic pharyngitis",J31   Rinite nasofaringite e faringite cronicas,J31 nasopharyngitis rhinitis and chronic pharyngitis,,"Rinite, nasofaringite e faringite cr̫nicas",
J32,106,,Chronic sinusitis,J32   Sinusite cronica,J32 Chronic Sinusitis,,Sinusite cr̫nica,
J33,106,,Nasal polyp,J33   Polipo nasal,J33 nasal Polipo,,P�_lipo nasal,
J34,106,,Other disorders of the nose and paranasal sinuses,J34   Outr transt do nariz e dos seios paranasais,J34 othe transt the nose and paranasal sinuses,,Outros transtornos do nariz e dos seios paranasais,
J35,106,,Chronic diseases of tonsils and adenoids,J35   Doenc cronicas das amigdalas e das adenoides,J35 Thyroid Disease chronic tonsil and adenoid,,Doen̤as cr̫nicas das am�_gdalas e das aden�_ides,
J36,106,,Peritonsillar abscess,J36   Abscesso periamigdaliano,J36 abscess peritonsillar,,Abscesso periamigdaliano,
J37,106,,Laryngitis and chronic laryngotracheitis,J37   Laringite e laringotraqueite cronicas,J37 chronic laryngitis and laryngotracheitis,,Laringite e laringotraque�_te cr̫nicas,
J38,106,,"Diseases of vocal cords and larynx, not elsewhere classified",J38   Doenc das cordas vocais e da laringe NCOP,J38 Thyroid Disease of the vocal cords and larynx NEC,,Doen̤as das cordas vocais e da laringe ṇo classificadas em outra parte,
J39,106,,Other diseases of the upper airways,J39   Outr doenc das vias aereas super,J39 othe Thyroid Disease of super airways,,Outras doen̤as das vias a̩reas superiores,
J40,107,,Bronchitis not specified as acute or chronic,J40   Bronquite NE como aguda ou cronica,J40 Bronchitis NE as acute or chronic,,Bronquite ṇo especificada como aguda ou cr̫nica,
J41,107,,Simple chronic bronchitis and purulent,J41   Bronquite cronica simples e a mucopurulenta,J41 simple chronic bronchitis and purulent,,Bronquite cr̫nica simples e a mucopurulenta,
J42,107,,Chronic bronchitis not specified,J42   Bronquite cronica NE,J42 Bronchitis chronic NE,,Bronquite cr̫nica ṇo especificada,
J43,107,,Emphysema,J43   Enfisema,J43 Emphysema,,Enfisema,
J44,107,,Other chronic obstructive pulmonary diseases,J44   Outr doenc pulmonares obstrutivas cronicas,J44 othe chronic obstructive pulmonary Thyroid Disease,,Outras doen̤as pulmonares obstrutivas cr̫nicas,
J45,107,,Asthma,J45   Asma,J45 Asthma,,Asma,
J46,107,,Status asthmaticus,J46   Estado de mal asmatico,J46 Status asthmaticus,,Estado de mal asm��tico,
J47,107,,Bronchiectasis,J47   Bronquectasia,J47 Bronchiectasis,,Bronquectasia,
J60,108,,Pneumoconiosis of coal miners,J60   Pneumoconiose dos mineiros de carvao,J60 Pneumoconiosis miners of coal,,Pneumoconiose dos mineiros de carṿo,
J61,108,,Pneumoconiosis due to asbestos [asbestos] and other mineral fibers,J61   Pneumoconiose dev amianto outr fibr minerais,J61 Pneumoconiosis dev asbestos minerals othe Fibromyalgia,,Pneumoconiose devida a amianto [asbesto] e outras fibras minerais,
J62,108,,Pneumoconiosis due to dust containing silica,J62   Pneumoconiose dev poeira que cont silica,J62 Pneumoconiosis dev dust containing silica,,Pneumoconiose devida a poeira que contenham s�_lica,
J63,108,,Pneumoconiosis due to other inorganic dusts,J63   Pneumoconiose dev outr poeiras inorganicas,J63 Pneumoconiosis dev othe inorganic dust,,Pneumoconiose devida a outras poeiras inorg̢nicas,
J64,108,,Unspecified pneumoconiosis,J64   Pneumoconiose NE,J64 Pneumoconiosis NE,,Pneumoconiose ṇo especificada,
J65,108,,Pneumoconiosis associated with tuberculosis,J65   Pneumoconiose assoc c/tuberc,J65 Pneumoconiosis assoc w / tuberc,,Pneumoconiose associada com tuberculose,
